year_month,title,link,snippet
2015-09,Financial Watchdog Rethinks AML Guidance for Banks and Bitcoin,https://web.archive.org/web/20150910145207/http://www.coindesk.com/financial-watchdog-fatf-wants-to-help-bitcoin-businesses-with-risk-based-approach/,The Financial Action Task Force (FATF) has taken note of the issues hindering partnerships between bitcoin businesses and banks.
2015-09,Isle of Man Introduces Regulation for Bitcoin Businesses,https://web.archive.org/web/20150910145207/http://www.coindesk.com/isle-of-man-introduces-regulation-for-bitcoin-businesses/,Digital currency businesses will have to comply with the Isle of Man's anti-money-laundering laws from 1st April.
2015-09,Startups Speak Out on Russia's Looming Bitcoin Ban,https://web.archive.org/web/20150910145207/http://www.coindesk.com/startups-speak-out-russia-bitcoin-ban/,"As Russia prepares for a forthcoming decision on bitcoin's legal status, current and former entrepreneurs weigh in on their market strategy."
2015-09,Bitcoin in the Headlines: UK Regulation Trumps Dark Market Collapse,https://web.archive.org/web/20150910145207/http://www.coindesk.com/bitcoin-in-the-headlines-uk-regulation-trumps-dark-market-collapse/,CoinDesk has taken a look at the top bitcoin headlines across the globe.
2015-09,UK's Plans to Regulate Bitcoin Revealed in Treasury Report,https://web.archive.org/web/20150910145207/http://www.coindesk.com/breaking-uk-treasury-issues-landmark-digital-currencies-report/,The UK Treasury has announced a series of initiatives dealing with digital currency in a landmark report published in conjunction with the Chancellor…
2015-09,Top Global Law Firm: Virtual Currency is Here to Stay,https://web.archive.org/web/20150910145207/http://www.coindesk.com/top-global-law-firm-virtual-currency-is-here-to-stay/,"Cryptocurrency's advantages mean it's unlikely to completely go away, says a partner at one of the largest and most prestigious law firms in the US."
2015-09,Why Bitcoin Regulation Lags Where it's Needed Most,https://web.archive.org/web/20150910145207/http://www.coindesk.com/why-bitcoin-regulation-lags-where-its-needed-most/,"Africa has significant market potential for bitcoin companies, but its challenging regulatory environment is deterring development."
2015-09,US Bank Regulator: Virtual Currencies Could Be 'Revolutionary',https://web.archive.org/web/20150910145207/http://www.coindesk.com/us-bank-regulator-virtual-currencies-could-be-revolutionary/,"Speaking before the Institute of International Bankers this week, the US Comptroller of the Currency discussed virtual currency."
2015-09,Digital Currency Crimes Chief: DOJ Has No Bitcoin Agenda,https://web.archive.org/web/20150910145207/http://www.coindesk.com/digital-currency-crimes-doj-bitcoin/,
2015-09,Can Bitcoin Make a Difference in the Global Aid Sector?,https://web.archive.org/web/20150910145207/http://www.coindesk.com/can-bitcoin-make-a-difference-in-the-global-aid-sector/,
2015-09,FOXBIT Launches 'Bitcoin For Peace' Campaign,https://web.archive.org/web/20150910145207/http://www.coindesk.com/press-releases/foxbit-campaign-bitcoin-for-peace/,
2015-09,Bitcove.ie Provides Bitcoin to the Emerald Isle,https://web.archive.org/web/20150910145207/http://www.coindesk.com/press-releases/bitcove-ie-bitcoin-emerald-isle/,
2015-09,Sync.com Now Accepts Bitcoin For Encrypted Cloud Storage and File Sharing,https://web.archive.org/web/20150910145207/http://www.coindesk.com/press-releases/sync-com-accepts-bitcoin-encrypted-cloud-storage/,
2015-09,Andreas Antonopoulos Makes Case for Bitcoin Before Australian Senate,https://web.archive.org/web/20150913011932/http://www.coindesk.com/andreas-antonopoulos-makes-case-for-bitcoin-before-australian-senate/,Bitcoin evangelist Andreas M Antonopoulos has appeared before the Australian Senate  to make the case for bitcoin.
2015-09,California Bill Proposes License Requirement for Bitcoin Businesses,https://web.archive.org/web/20150913011932/http://www.coindesk.com/california-bill-license-require-bitcoin-business/,A bill introduced to the California legislature aims to bring virtual currency businesses more clearly under the state’s Money Transmission Act.
2015-09,Commonwealth Secretariat Commissions Bitcoin Report for Developing Nations,https://web.archive.org/web/20150913011932/http://www.coindesk.com/commonwealth-secretariat-bitcoin-meeting-report/,A two-day event that brought together representatives from the Commonwealth Secretariat has ended with the commission of a formal bitcoin report.
2015-09,New Hampshire Lawmakers Debate Accepting Bitcoin for Tax Payments,https://web.archive.org/web/20150913011932/http://www.coindesk.com/new-hampshire-bitcoin-tax-payments/,Hearings conducted by the New Hampshire General Court last week focused on a proposed bill that would allow bitcoin payments for state taxes and fees.
2015-09,Bitcoin ATM Shutdown Spotlights Regulatory Uncertainty in Vermont,https://web.archive.org/web/20150913011932/http://www.coindesk.com/bitcoin-atm-shutdown-regulation-vermont/,The shutdown of a bitcoin ATM in Vermont has prompted larger questions about financial regulation in the state.
2015-09,Commonwealth Secretariat to Explore Bitcoin in the Developing World,https://web.archive.org/web/20150913011932/http://www.coindesk.com/commonwealth-secretariat-bitcoin-developing-world/,The Commonwealth Secretariat is set to hold a hearing on digital currencies to discuss how the technology might benefit the developing world.
2015-09,"Québec Mandates Bitcoin ATMs, Trading Platforms Obtain Licenses",https://web.archive.org/web/20150913011932/http://www.coindesk.com/quebec-province-bitcoin-regulation/,Québec has enacted new policies that mandate virtual currency ATM operators and virtual currency trading platforms obtain a license.
2015-09,Former US Treasury Secretary: Bitcoin Needs More Than Math to Succeed,https://web.archive.org/web/20150913011932/http://www.coindesk.com/former-us-treasury-secretary-bitcoin-regulation/,Former US Treasury Secretary Lawrence Summers has argued bitcoin needs stronger regulation to succeed long term.
2015-09,Italian Central Bank: No AML Requirement for Bitcoin Exchanges,https://web.archive.org/web/20150913011932/http://www.coindesk.com/italian-central-bank-no-aml-requirement-bitcoin-exchanges/,"Digital currency exchanges are not required to comply with anti-money laundering rules, according to new guidance from the Banca d'Italia."
2015-09,Bitcoin in the Headlines: $45 Million Week Snaps Funding Slump,https://web.archive.org/web/20150913011932/http://www.coindesk.com/bitcoin-in-the-headlines-45-million-week-snaps-industry-funding-slump/,
2015-09,Digital Currency Crimes Chief: DOJ Has No Bitcoin Agenda,https://web.archive.org/web/20150913011932/http://www.coindesk.com/digital-currency-crimes-doj-bitcoin/,
2015-09,Can Bitcoin Make a Difference in the Global Aid Sector?,https://web.archive.org/web/20150913011932/http://www.coindesk.com/can-bitcoin-make-a-difference-in-the-global-aid-sector/,
2015-09,FOXBIT Launches 'Bitcoin For Peace' Campaign,https://web.archive.org/web/20150913011932/http://www.coindesk.com/press-releases/foxbit-campaign-bitcoin-for-peace/,
2015-09,Bitcove.ie Provides Bitcoin to the Emerald Isle,https://web.archive.org/web/20150913011932/http://www.coindesk.com/press-releases/bitcove-ie-bitcoin-emerald-isle/,
2015-09,Bitcoin ATM Shutdown Spotlights Regulatory Uncertainty in Vermont,https://web.archive.org/web/20150919045132/http://www.coindesk.com/bitcoin-atm-shutdown-regulation-vermont/,The shutdown of a bitcoin ATM in Vermont has prompted larger questions about financial regulation in the state.
2015-09,Commonwealth Secretariat to Explore Bitcoin in the Developing World,https://web.archive.org/web/20150919045132/http://www.coindesk.com/commonwealth-secretariat-bitcoin-developing-world/,The Commonwealth Secretariat is set to hold a hearing on digital currencies to discuss how the technology might benefit the developing world.
2015-09,"Québec Mandates Bitcoin ATMs, Trading Platforms Obtain Licenses",https://web.archive.org/web/20150919045132/http://www.coindesk.com/quebec-province-bitcoin-regulation/,Québec has enacted new policies that mandate virtual currency ATM operators and virtual currency trading platforms obtain a license.
2015-09,Former US Treasury Secretary: Bitcoin Needs More Than Math to Succeed,https://web.archive.org/web/20150919045132/http://www.coindesk.com/former-us-treasury-secretary-bitcoin-regulation/,Former US Treasury Secretary Lawrence Summers has argued bitcoin needs stronger regulation to succeed long term.
2015-09,Italian Central Bank: No AML Requirement for Bitcoin Exchanges,https://web.archive.org/web/20150919045132/http://www.coindesk.com/italian-central-bank-no-aml-requirement-bitcoin-exchanges/,"Digital currency exchanges are not required to comply with anti-money laundering rules, according to new guidance from the Banca d'Italia."
2015-09,New Jersey State Legislature to Hold Bitcoin Hearing,https://web.archive.org/web/20150919045132/http://www.coindesk.com/new-jersey-state-legislature-convenes-hearing-digital-currencies/,EU rules requiring merchants to record the country of residence of their customers could be bad news for pseudonymous payments systems like bitcoin.
2015-09,New EU Legislation on VAT Could Be Bad News for Bitcoin,https://web.archive.org/web/20150919045132/http://www.coindesk.com/new-eu-legislation-vat-bad-news-bitcoin/,EU rules requiring merchants to record the country of residence of their customers could be bad news for pseudonymous payments systems like bitcoin.
2015-09,Isle of Man eBusiness Chief: Bitcoin Legislation Coming This Year,https://web.archive.org/web/20150919045132/http://www.coindesk.com/isle-of-man-bitcoin-regulation-2015/,CoinDesk speaks to the Isle of Man’s head of digital development about how the UK dependency is pressing forward with bitcoin-friendly regulation.
2015-09,CoinDesk's Regulation Sentiment Survey,https://web.archive.org/web/20150919045132/http://www.coindesk.com/coindesks-regulation-sentiment-survey/,CoinDesk wants to hear directly from our readers about where they stand on the topic of bitcoin regulation.
2015-09,Manhattan DA: We’re Watching Regulated Exchanges With ‘Immense Interest’,https://web.archive.org/web/20150919045132/http://www.coindesk.com/manhattan-da-watching-regulated-exchanges-immense-interest/,Manhattan district attorney Cyrus R Vance Jr has issued new remarks regarding his agency's interests in the bitcoin exchange space.
2015-09,Researchers Tackle Tomorrow's Blockchain Problems With Bitcoin-NG,https://web.archive.org/web/20150919045132/http://www.coindesk.com/cornell-research-blockchain-problems-bitcoin-ng/,
2015-09,"Bitcoin in the Headlines: Blockchain Good, Bitcoin Bad",https://web.archive.org/web/20150919045132/http://www.coindesk.com/bitcoin-in-the-headlines-blockchain-good-bitcoin-bad/,
2015-09,Bitcoin's Future Moves Into Focus at Scaling Bitcoin Day 2,https://web.archive.org/web/20150919045132/http://www.coindesk.com/bitcoins-future-moves-into-focus-at-scaling-bitcoin-day-2/,
2015-09,Storj Network passes 1 Petabyte storage space in second round of testing,https://web.archive.org/web/20150919045132/http://www.coindesk.com/press-releases/storj-network-passes-1-petabyte-storage-space/,
2015-09,Lawsky Outlines Revisions to New York's BitLicense in DC Speech,https://web.archive.org/web/20150910021724/http://www.coindesk.com/lawsky-outlines-revisions-new-yorks-bitlicense-dc-speech/,Ben Lawsky announced the latest revisions to the proposed New York BitLicense at a panel event in Washington.
2015-09,US State Bank Supervisors Issue Model Regulation for Digital Currencies,https://web.archive.org/web/20150910021724/http://www.coindesk.com/us-state-bank-supervisors-issue-model-regulation-digital-currencies/,The Conference of State Bank Supervisors has drafted guidance for regulating digital currency activity
2015-09,Australian Regulator: Bitcoin is Not a Financial Product,https://web.archive.org/web/20150910021724/http://www.coindesk.com/australian-regulator-bitcoin-financial-product/,The Australian Securities and Investments Commission has issued temporary guidance for bitcoin businesses.
2015-09,Why Bitcoin Needs Lawyers to Bridge the Technology Gap,https://web.archive.org/web/20150910021724/http://www.coindesk.com/bitcoin-needs-lawyers-bridge-technology-gap/,"As bitcoin continues to be taken more seriously by banks and regulators, the industry needs lawyers to help smooth out bumps on its way to mainstream."
2015-09,The Future of a Commodity: Bitcoin Regulation and the CFTC,https://web.archive.org/web/20150910021724/http://www.coindesk.com/future-commodity-bitcoin-regulation-cftc/,The US Commodities Futures Trading Commission has made clear that bitcoin falls under its jurisdiction – what would regulation under CFTC look…
2015-09,"Evolution, Not Revolution: How to Sell Bitcoin to Regulators",https://web.archive.org/web/20150910021724/http://www.coindesk.com/evolution-revolution-sell-bitcoin-regulators/,"Promoting bitcoin as a revolution is not likely to bring advantageous regulation – informed dialogue is the way to go, says Amor Sexton."
2015-09,California to Debate Bitcoin Regulation at December Meeting,https://web.archive.org/web/20150910021724/http://www.coindesk.com/california-debate-bitcoin-regulation-december-meeting/,California's Department of Business Oversight will hold a meeting this month to determine if the agency should regulate bitcoin businesses.
2015-09,MasterCard Seeks 'Level Playing Field' for Bitcoin Regulation,https://web.archive.org/web/20150910021724/http://www.coindesk.com/mastercard-seeks-level-playing-field-bitcoin-regulation/,"MasterCard has spoken out against bitcoin's perceived risks and called for a regulatory ""level playing field"" for payments systems including bitcoin."
2015-09,Coinbase Enables Instant Bitcoin Trades with New USD Wallets,https://web.archive.org/web/20150910021724/http://www.coindesk.com/coinbase-enables-instant-bitcoin-trades-new-usd-wallets/,Coinbase now allows account holders in 16 US jurisdictions to maintain US dollar balances for instant bitcoin trades.
2015-09,Bitcoin Needs an Aggressive Legal Defense,https://web.archive.org/web/20150910021724/http://www.coindesk.com/bitcoin-needs-aggressive-legal-defense/,"Bitcoin requires forceful and aggressive legal defense, not complicity with governments in crafting policy and regulations."
2015-09,Can Bitcoin Make a Difference in the Global Aid Sector?,https://web.archive.org/web/20150910021724/http://www.coindesk.com/can-bitcoin-make-a-difference-in-the-global-aid-sector/,
2015-09,"Core Devs, Bankers and the FBI: What Not to Miss at Consensus 2015",https://web.archive.org/web/20150910021724/http://www.coindesk.com/core-devs-bankers-and-the-fbi-what-not-to-miss-at-consensus-2015/,
2015-09,FOXBIT Launches 'Bitcoin For Peace' Campaign,https://web.archive.org/web/20150910021724/http://www.coindesk.com/press-releases/foxbit-campaign-bitcoin-for-peace/,
2015-09,Bitcove.ie Provides Bitcoin to the Emerald Isle,https://web.archive.org/web/20150910021724/http://www.coindesk.com/press-releases/bitcove-ie-bitcoin-emerald-isle/,
2015-09,Sync.com Now Accepts Bitcoin For Encrypted Cloud Storage and File Sharing,https://web.archive.org/web/20150910021724/http://www.coindesk.com/press-releases/sync-com-accepts-bitcoin-encrypted-cloud-storage/,
2018-08,The SEC Will Decide on 9 Bitcoin ETFs in the Next 2 Months,https://web.archive.org/web/20180813183848/https://www.coindesk.com/the-sec-will-decide-on-9-bitcoin-etfs-in-the-next-2-months/,The SEC is set to make final decisions on nine proposed bitcoin exchange-traded funds (ETFs) in the next two months.
2018-08,"Among Blockchain-Friendly Jurisdictions, Malta Stands Out",https://web.archive.org/web/20180813183848/https://www.coindesk.com/among-blockchain-friendly-jurisdictions-malta-stands-out/,Malta is writing laws for tomorrow's economy rather than trying to impose yesterday's rules upon it. Consider the way it is legally recognizing DAOs.
2018-08,Thailand Targets New Crypto Taxes While Others Move to Ease Burdens,https://web.archive.org/web/20180813183848/https://www.coindesk.com/thailand-targets-new-crypto-taxes-others-move-ease-burdens/,A weekly roundup of regulatory moves by different nations and agencies.
2018-08,These ICO Investors Are Getting Their Money Back – And It's Not Clear Why,https://web.archive.org/web/20180813183848/https://www.coindesk.com/ico-investors-getting-money-back-not-clear/,Seattle-based Dragonchain appears to be catching up with the rest of the blockchain industry as it pivots to cautiousness over U.S. regulation.
2018-08,A G20 Crypto Policy? Let's Hope It's a Pipe Dream,https://web.archive.org/web/20180813183848/https://www.coindesk.com/g20-crypto-policy-lets-hope-pipe-dream/,The world's economic leaders are seeking a globally coordinated policy on cryptocurrencies. This could take a while. But that may be just as well.
2018-08,"Maryland Bills Call for Study, Possible Regulation of Blockchain",https://web.archive.org/web/20180813183848/https://www.coindesk.com/maryland-bills-call-study-possible-regulation-blockchain/,Maryland's proposed Financial Consumer Protection Act would represent the U.S. state's first regulatory pronouncements on cryptocurrency since 2014.
2018-08,"Crypto Millionaire Lost 5,500 Bitcoins in Alleged Investment Scam",https://web.archive.org/web/20180813183848/https://www.coindesk.com/crypto-millionaire-lost-5500-bitcoins-in-alleged-investment-scam/,
2018-08,How Crypto Reacted to This Week's SEC Bitcoin ETF Delay,https://web.archive.org/web/20180813183848/https://www.coindesk.com/no-surprise-here-crypto-yawns-as-sec-kicks-can-on-bitcoin-etf-decision/,
